species,temperature,growth
species_1,8.93,0.093245573
species_1,11.47,0.131013419
species_1,13.81,0.171288156
species_1,16.34,0.199005751
species_1,18.83,0.220440521
species_1,21.31,0.220518507
species_1,23.75,0.203007135
species_1,26.32,0.171680922
species_1,28.62,0.131552231
species_1,31.24,0.096458591
species_2,8.93,0.159825652
species_2,11.47,0.225231689
species_2,13.81,0.303197704
species_2,16.34,0.362320916
species_2,18.83,0.402599907
species_2,21.31,0.403932756
species_2,23.75,0.365064601
species_2,26.32,0.302328516
species_2,28.62,0.223257938
species_2,31.24,0.160527525
species_3,8.93,0.21887655
species_3,11.47,0.315685368
species_3,13.81,0.432596107
species_3,16.34,0.528152898
species_3,18.83,0.584760711
species_3,21.31,0.583580998
species_3,23.75,0.528382601
species_3,26.32,0.431728337
species_3,28.62,0.31622418
species_3,31.24,0.21705877
species_4,8.93,0.279175221
species_4,11.47,0.409906474
species_4,13.81,0.564504237
species_4,16.34,0.693979208
species_4,18.83,0.768173543
species_4,21.31,0.768255782
species_4,23.75,0.691700602
species_4,26.32,0.563637885
species_4,28.62,0.40793414
species_4,31.24,0.278615141
species_5,8.93,0.338220448
species_5,11.47,0.502872716
species_5,13.81,0.695156085
species_5,16.34,0.858552072
species_5,18.83,0.951592046
species_5,21.31,0.952924895
species_5,23.75,0.856272049
species_5,26.32,0.695546014
species_5,28.62,0.503411527
species_5,31.24,0.341427794
