species,temperature,growth
a,8.949152542,0.036432161
a,11.43502825,0.035175879
a,13.83050847,0.035175879
a,16.4519774,0.072864322
a,18.89265537,0.673366834
a,21.19774011,0.670854271
a,23.7740113,0.079145729
a,26.12429379,0.035175879
a,28.65536723,0.035175879
a,31.18644068,0.032663317
b,8.949152542,0.037688442
b,11.43502825,0.051507538
b,13.83050847,0.128140704
b,16.4519774,0.376884422
b,18.89265537,0.713567839
b,21.19774011,0.712311558
b,23.7740113,0.376884422
b,26.12429379,0.126884422
b,28.65536723,0.051507538
b,31.18644068,0.033919598
c,8.949152542,0.064070352
c,11.43502825,0.118090452
c,13.83050847,0.251256281
c,16.4519774,0.430904523
c,18.89265537,0.570351759
c,21.19774011,0.57160804
c,23.7740113,0.429648241
c,26.12429379,0.255025126
c,28.65536723,0.125628141
c,31.18644068,0.064070352
d,8.949152542,0.103015075
d,11.43502825,0.135678392
d,13.83050847,0.16959799
d,16.4519774,0.202261307
d,18.89265537,0.222361809
d,21.19774011,0.219849246
d,23.7740113,0.202261307
d,26.12429379,0.173366834
d,28.65536723,0.134422111
d,31.18644068,0.101758794
e,8.949152542,0.100502513
e,11.43502825,0.164572864
e,13.83050847,0.256281407
e,16.4519774,0.341708543
e,18.89265537,0.396984925
e,21.19774011,0.400753769
e,23.7740113,0.344221106
e,26.12429379,0.255025126
e,28.65536723,0.162060302
e,31.18644068,0.099246231
